"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","fir_number","crime_type_rowid","crime_category_rowid","act_rowid","section_rowid","unit_rowid","district_rowid","state_rowid","occurrence_datetime","complaint_datetime","latitude","longitude","place_of_occurrence","complaint_mode","case_priority","case_status","investigation_officer_rowid","created_by_rowid","ai_risk_score","ai_summary","is_sensitive"
"49093000000157268","49093000000013007","2026-06-28 13:23:29:050","2026-06-28 13:23:29:050","FIR-2026-00011","49093000000153091","49093000000157232","49093000000157243","49093000000155085","49093000000153022","49093000000155017","1","2025-03-23 22:49:44","2025-03-24 02:13:44","17.2699","76.5068","H.No. 377, Chopra Marg, Shivpuri 679924","Emergency 112","High","Charge Sheet Filed","49093000000157154","49093000000157126","75.07","Cum laboriosam voluptatibus exercitationem itaque adipisci ipsa omnis perferendis tenetur doloremque rerum itaque nemo nesciunt ullam.","false"
"49093000000157269","49093000000013007","2026-06-28 13:23:29:050","2026-06-28 13:23:29:050","FIR-2026-00012","49093000000153089","49093000000157233","49093000000157245","49093000000155093","49093000000153063","49093000000155021","1","2026-03-07 10:42:56","2026-03-07 17:39:56","18.2288","76.3989","71/24, Prabhu Path, Gudivada 859384","Online","Critical","Closed","49093000000157207","49093000000157168","61.54","Blanditiis totam ipsam autem voluptatem voluptatum occaecati rerum excepturi voluptate necessitatibus.","false"
"49093000000157270","49093000000013007","2026-06-28 13:23:29:050","2026-06-28 13:23:29:050","FIR-2026-00013","49093000000153088","49093000000157232","49093000000157249","49093000000155092","49093000000153074","49093000000155010","1","2026-04-25 17:54:55","2026-04-26 03:23:55","13.9761","78.6803","33, Peri, Tadipatri 654532","Online","Low","Open","49093000000157104","49093000000157211","16.41","Dignissimos itaque suscipit quia ad iusto repudiandae.","true"
"49093000000157271","49093000000013007","2026-06-28 13:23:29:050","2026-06-28 13:23:29:050","FIR-2026-00014","49093000000153094","49093000000157226","49093000000157249","49093000000155091","49093000000153076","49093000000155024","1","2026-04-19 17:13:20","2026-04-19 22:55:20","13.4248","74.6304","H.No. 91, Ramesh Chowk, Kalyan-Dombivli 756303","Online","Medium","Closed","49093000000157152","49093000000157124","17.47","Omnis veniam voluptatum accusamus libero illum vero corrupti beatae.","true"
"49093000000157272","49093000000013007","2026-06-28 13:23:29:051","2026-06-28 13:23:29:051","FIR-2026-00015","49093000000153087","49093000000157224","49093000000157247","49093000000155086","49093000000153027","49093000000155015","1","2024-07-24 18:05:39","2024-07-25 06:05:39","13.2798","77.2016","84/08, Sule Zila, Gulbarga 682889","Phone","Low","Charge Sheet Filed","49093000000157115","49093000000157179","54.7","Iusto voluptatem inventore eos totam modi repellendus saepe ex nobis possimus labore.","true"
"49093000000157273","49093000000013007","2026-06-28 13:23:29:051","2026-06-28 13:23:29:051","FIR-2026-00016","49093000000153093","49093000000157231","49093000000157245","49093000000155085","49093000000153039","49093000000155019","1","2025-01-12 23:31:08","2025-01-13 06:41:08","18.0077","77.6651","24, Anand Path, Bilaspur 367566","Emergency 112","Medium","Open","49093000000157117","49093000000157124","96.63","Atque repellendus at minus asperiores numquam mollitia delectus.","false"
"49093000000157274","49093000000013007","2026-06-28 13:23:29:051","2026-06-28 13:23:29:051","FIR-2026-00017","49093000000153095","49093000000157226","49093000000157247","49093000000155092","49093000000153028","49093000000155026","1","2024-09-30 13:53:13","2024-10-01 00:32:13","14.7133","74.5418","26/62, Behl Chowk, Raiganj-670627","Emergency 112","Low","Under Investigation","49093000000157115","49093000000157060","56.39","Exercitationem accusamus temporibus facere quisquam at minus magni voluptate corrupti sint repellat id consequuntur in minima.","true"
"49093000000157275","49093000000013007","2026-06-28 13:23:29:051","2026-06-28 13:23:29:051","FIR-2026-00018","49093000000153090","49093000000157225","49093000000157250","49093000000155093","49093000000153078","49093000000155015","1","2025-11-11 09:49:14","2025-11-11 17:21:14","12.5846","74.4817","31/462, Anne, Thanjavur 897410","Phone","Medium","Open","49093000000157180","49093000000157198","22.13","Ipsa dicta quia consequatur debitis accusantium mollitia inventore officiis id nemo asperiores architecto sed sint ipsa.","true"
"49093000000157276","49093000000013007","2026-06-28 13:23:29:052","2026-06-28 13:23:29:052","FIR-2026-00019","49093000000153089","49093000000157231","49093000000157249","49093000000155092","49093000000153043","49093000000155011","1","2026-01-07 03:38:42","2026-01-07 12:42:42","13.3261","76.4684","H.No. 806, Dada Ganj, Ajmer-958891","Walk-in","High","Open","49093000000157159","49093000000157174","76.14","Mollitia repudiandae illo quia nemo id cupiditate debitis mollitia omnis officiis sequi et id.","false"
"49093000000157277","49093000000013007","2026-06-28 13:23:29:052","2026-06-28 13:23:29:052","FIR-2026-00020","49093000000153088","49093000000157233","49093000000157244","49093000000155091","49093000000153038","49093000000155019","1","2024-07-19 03:47:39","2024-07-19 14:50:39","16.9243","78.0686","13/84, Tandon Circle, Bharatpur-914647","Online","High","Charge Sheet Filed","49093000000157158","49093000000157204","86.37","Maiores eaque molestiae fugiat vero exercitationem reprehenderit eius dolorem alias aut harum magni sit nam.","false"
"49093000000157278","49093000000013007","2026-06-28 13:23:29:052","2026-06-28 13:23:29:052","FIR-2026-00021","49093000000153088","49093000000157225","49093000000157248","49093000000155091","49093000000153020","49093000000155031","1","2024-07-26 10:20:28","2024-07-26 10:37:28","14.1377","76.28","310, Lata Chowk, Chinsurah 774539","Emergency 112","Critical","Charge Sheet Filed","49093000000157150","49093000000157213","64.76","Suscipit ea ipsa non quos hic minus minus totam exercitationem blanditiis error non quia aliquam.","false"
"49093000000157279","49093000000013007","2026-06-28 13:23:29:052","2026-06-28 13:23:29:052","FIR-2026-00022","49093000000153090","49093000000157229","49093000000157249","49093000000155090","49093000000153048","49093000000155017","1","2025-01-20 14:42:58","2025-01-21 01:30:58","17.1996","75.0224","736, Nayar Road, Arrah-193566","Online","Critical","Closed","49093000000157159","49093000000157208","41.79","Quisquam ipsam fugiat impedit placeat possimus voluptatum sint.","false"
"49093000000157280","49093000000013007","2026-06-28 13:23:29:053","2026-06-28 13:23:29:053","FIR-2026-00023","49093000000153088","49093000000157224","49093000000157241","49093000000155091","49093000000153033","49093000000155030","1","2026-01-22 11:53:56","2026-01-22 20:47:56","12.1116","77.2983","027, Thaman Circle, Jehanabad 233363","Online","Low","Charge Sheet Filed","49093000000157107","49093000000157152","97.92","Similique amet quos delectus beatae repellat odio reiciendis.","false"
"49093000000157281","49093000000013007","2026-06-28 13:23:29:053","2026-06-28 13:23:29:053","FIR-2026-00024","49093000000153091","49093000000157228","49093000000157247","49093000000155091","49093000000153072","49093000000155026","1","2025-04-19 15:47:25","2025-04-19 20:57:25","17.6675","76.3621","98/50, Koshy Zila, Bardhaman 738842","Walk-in","Medium","Under Investigation","49093000000157143","49093000000157098","89.1","Ipsum exercitationem debitis dolores sit alias expedita esse nesciunt tenetur ipsum ratione ex aspernatur.","false"
"49093000000157282","49093000000013007","2026-06-28 13:23:29:053","2026-06-28 13:23:29:053","FIR-2026-00025","49093000000153095","49093000000157232","49093000000157243","49093000000155091","49093000000153061","49093000000155006","1","2024-11-27 13:34:07","2024-11-27 15:37:07","15.8666","75.3598","H.No. 372, Shukla Circle, Kurnool-244077","Emergency 112","Critical","Under Investigation","49093000000157099","49093000000157084","49.06","Necessitatibus cum placeat impedit voluptatum iusto nesciunt reprehenderit.","false"
"49093000000157283","49093000000013007","2026-06-28 13:23:29:053","2026-06-28 13:23:29:053","FIR-2026-00026","49093000000153093","49093000000157225","49093000000157250","49093000000155090","49093000000153035","49093000000155030","1","2024-09-23 09:25:14","2024-09-23 16:00:14","15.4","74.7491","52/19, Nayak, Gorakhpur-089612","Phone","Critical","Open","49093000000157096","49093000000157074","34.83","Quia adipisci vel vel vero nisi blanditiis in aut nemo ipsum.","false"
"49093000000157284","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00027","49093000000153094","49093000000157226","49093000000157250","49093000000155091","49093000000153062","49093000000155033","1","2025-07-11 17:07:55","2025-07-12 04:55:55","16.0055","77.5439","90/30, Munshi Marg, Muzaffarpur 748409","Online","Low","Open","49093000000157174","49093000000157046","91.53","Nulla aspernatur dolorum ex accusamus assumenda numquam placeat quibusdam.","true"
"49093000000157285","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00028","49093000000153089","49093000000157233","49093000000157244","49093000000155084","49093000000153019","49093000000155010","1","2025-07-29 04:24:24","2025-07-29 05:26:24","18.474","74.9723","H.No. 378, Master Chowk, Anantapuram-508203","Phone","Critical","Closed","49093000000157101","49093000000157134","13.81","Fugit iste voluptatem fugiat esse aperiam ad officiis odio consequatur quam fugiat iure.","false"
"49093000000157286","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00029","49093000000153096","49093000000157232","49093000000157247","49093000000155091","49093000000153045","49093000000155027","1","2025-08-15 14:34:39","2025-08-15 20:28:39","11.9503","77.6153","05/322, Sahni Zila, Jhansi 535072","Walk-in","High","Open","49093000000157140","49093000000157077","51.21","Veritatis voluptatem aliquam ipsa quam incidunt libero minima repudiandae occaecati.","true"
"49093000000157287","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00030","49093000000153093","49093000000157232","49093000000157250","49093000000155093","49093000000153024","49093000000155014","1","2025-03-25 16:38:29","2025-03-25 22:44:29","16.2616","75.8216","300, Virk Path, Panipat 459252","Walk-in","Critical","Charge Sheet Filed","49093000000157212","49093000000157143","25.11","Ad magnam suscipit in placeat culpa iusto iusto.","false"
"49093000000157288","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00031","49093000000153090","49093000000157227","49093000000157250","49093000000155092","49093000000153031","49093000000155006","1","2026-03-23 01:39:01","2026-03-23 11:49:01","14.8107","76.4979","17/80, Sura Path, Kottayam-789275","Emergency 112","Medium","Charge Sheet Filed","49093000000157046","49093000000157206","48.3","Nihil esse assumenda impedit delectus neque culpa recusandae tempora in impedit sequi dolorum et illum.","false"
"49093000000157289","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00032","49093000000153090","49093000000157225","49093000000157248","49093000000155091","49093000000153026","49093000000155008","1","2024-10-23 14:00:16","2024-10-23 15:08:16","16.258","75.6784","92/075, Chhabra Path, Mysore-496779","Emergency 112","High","Charge Sheet Filed","49093000000157075","49093000000157078","98.62","Quibusdam porro ratione libero incidunt eveniet ab nemo.","true"
"49093000000157290","49093000000013007","2026-06-28 13:23:29:054","2026-06-28 13:23:29:054","FIR-2026-00033","49093000000153094","49093000000157232","49093000000157245","49093000000155091","49093000000153048","49093000000155006","1","2025-04-27 17:17:35","2025-04-27 19:48:35","18.0724","77.3431","H.No. 833, Keer Chowk, Ahmednagar 305710","Walk-in","High","Under Investigation","49093000000157094","49093000000157146","37.68","Sequi ducimus iure accusamus iusto odio consequatur porro iusto dicta totam exercitationem asperiores accusantium nemo.","true"
"49093000000157291","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00034","49093000000153091","49093000000157232","49093000000157250","49093000000155085","49093000000153023","49093000000155033","1","2024-12-02 15:40:19","2024-12-02 23:30:19","12.8058","74.9078","48/60, Yadav Marg, Kota-278340","Walk-in","Low","Under Investigation","49093000000157170","49093000000157132","5.43","Totam iusto amet aperiam reiciendis natus explicabo iste beatae placeat architecto quidem nesciunt molestias.","false"
"49093000000157292","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00035","49093000000153090","49093000000157226","49093000000157242","49093000000155089","49093000000153068","49093000000155012","1","2025-08-29 11:53:41","2025-08-29 22:42:41","17.427","76.4222","H.No. 85, Gour Circle, Durgapur-488225","Walk-in","Critical","Charge Sheet Filed","49093000000157202","49093000000157051","33.98","Quos numquam totam quia dolores commodi recusandae consectetur nostrum ea veniam.","true"
"49093000000157293","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00036","49093000000153089","49093000000157226","49093000000157247","49093000000155093","49093000000153029","49093000000155030","1","2024-10-11 17:51:19","2024-10-11 19:05:19","17.3192","74.1603","397, Bahl Street, Hapur-242236","Emergency 112","High","Open","49093000000157088","49093000000157207","39.93","Eum laboriosam repudiandae voluptate a cumque quam numquam tempora voluptatum voluptatum delectus rerum.","true"
"49093000000157294","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00037","49093000000153089","49093000000157231","49093000000157242","49093000000155090","49093000000153060","49093000000155031","1","2024-08-01 18:06:34","2024-08-02 02:26:34","11.8777","77.1342","785, Rege Zila, Firozabad-671785","Phone","High","Charge Sheet Filed","49093000000157210","49093000000157188","67.9","Ad quibusdam aliquid deserunt cupiditate porro quisquam voluptas possimus esse.","false"
"49093000000157295","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00038","49093000000153088","49093000000157233","49093000000157250","49093000000155091","49093000000153066","49093000000155033","1","2025-01-20 03:12:04","2025-01-20 03:42:04","17.1379","77.7879","53/13, Sharaf Circle, Shivpuri 771382","Walk-in","Low","Charge Sheet Filed","49093000000157077","49093000000157143","47.36","Nostrum nihil velit eveniet ut nobis fugit tenetur dicta labore esse repudiandae suscipit occaecati.","false"
"49093000000157296","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00039","49093000000153096","49093000000157230","49093000000157250","49093000000155089","49093000000153033","49093000000155021","1","2024-08-06 21:36:50","2024-08-06 22:36:50","15.2495","77.8198","H.No. 313, Chadha Zila, Thoothukudi-270613","Phone","Critical","Closed","49093000000157063","49093000000157076","63.9","Repudiandae architecto quaerat neque beatae praesentium vitae blanditiis ducimus voluptatibus recusandae tempora.","true"
"49093000000157297","49093000000013007","2026-06-28 13:23:29:055","2026-06-28 13:23:29:055","FIR-2026-00040","49093000000153094","49093000000157225","49093000000157245","49093000000155089","49093000000153075","49093000000155036","1","2024-09-17 23:05:08","2024-09-18 04:59:08","14.9737","78.2957","19, Ramanathan Circle, Jalandhar 390653","Walk-in","Critical","Closed","49093000000157128","49093000000157069","31.67","Eveniet maxime libero est voluptatum tenetur fuga occaecati perferendis.","true"
"49093000000157298","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00041","49093000000153089","49093000000157233","49093000000157248","49093000000155085","49093000000153060","49093000000155031","1","2024-11-25 10:40:06","2024-11-25 22:31:06","13.9717","75.8405","H.No. 42, Tiwari Marg, Muzaffarnagar 776666","Walk-in","Low","Charge Sheet Filed","49093000000157179","49093000000157200","11.25","Occaecati iste incidunt consequuntur cumque similique repellendus ab eligendi optio vel itaque minus culpa voluptate.","false"
"49093000000157299","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00042","49093000000153095","49093000000157227","49093000000157246","49093000000155085","49093000000153053","49093000000155016","1","2024-09-22 06:21:20","2024-09-22 16:37:20","17.1355","77.7618","814, Arora Chowk, Alappuzha 440926","Online","Critical","Charge Sheet Filed","49093000000157104","49093000000157134","82.77","Repudiandae adipisci quam quo excepturi rerum aliquid tempora.","true"
"49093000000157300","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00043","49093000000153094","49093000000157232","49093000000157249","49093000000155088","49093000000153073","49093000000155010","1","2024-09-10 08:22:11","2024-09-10 18:17:11","14.3265","75.0579","09/015, Deol Path, Maheshtala 885746","Phone","Low","Closed","49093000000157213","49093000000157045","6.62","Earum porro eaque voluptates odio ipsam iste.","true"
"49093000000157301","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00044","49093000000153093","49093000000157224","49093000000157248","49093000000155092","49093000000153061","49093000000155022","1","2025-07-20 17:54:12","2025-07-20 21:54:12","12.9368","78.6506","75/712, Konda Marg, Rajkot 174875","Phone","Critical","Charge Sheet Filed","49093000000157205","49093000000157155","40.02","Cumque saepe tenetur repellat eaque laboriosam error harum eum qui totam molestias.","true"
"49093000000157302","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00045","49093000000153095","49093000000157230","49093000000157245","49093000000155085","49093000000153052","49093000000155009","1","2024-07-28 18:43:50","2024-07-28 21:02:50","15.2531","77.9035","86, Walia Marg, Coimbatore-895416","Walk-in","High","Closed","49093000000157106","49093000000157141","28.07","Eveniet necessitatibus ut inventore ea explicabo reiciendis impedit sed quae vero veritatis minus quo reiciendis omnis.","true"
"49093000000157303","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00046","49093000000153091","49093000000157232","49093000000157242","49093000000155093","49093000000153048","49093000000155017","1","2025-09-29 06:50:44","2025-09-29 15:58:44","11.9842","75.2472","809, Mohan Marg, Chapra 797178","Phone","High","Under Investigation","49093000000157168","49093000000157205","29.61","Dolores ducimus incidunt asperiores quaerat perspiciatis voluptatem voluptas assumenda aspernatur rem aut adipisci.","true"
"49093000000157304","49093000000013007","2026-06-28 13:23:29:056","2026-06-28 13:23:29:056","FIR-2026-00047","49093000000153094","49093000000157229","49093000000157250","49093000000155086","49093000000153058","49093000000155029","1","2025-04-25 15:42:28","2025-04-25 20:11:28","12.9862","75.203","H.No. 548, Grover Nagar, Tirunelveli 521289","Phone","Medium","Under Investigation","49093000000157088","49093000000157203","79.5","Veritatis unde mollitia quia a doloremque dolor maiores nemo.","false"
"49093000000157305","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00048","49093000000153095","49093000000157230","49093000000157248","49093000000155091","49093000000153075","49093000000155017","1","2024-08-10 05:40:32","2024-08-10 15:49:32","13.6271","77.88","743, Saraf Road, Saharanpur-389445","Emergency 112","Medium","Closed","49093000000157189","49093000000157057","52.13","Dolore sint tempore aspernatur delectus temporibus ratione cumque nihil numquam quisquam eveniet veniam itaque.","false"
"49093000000157306","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00049","49093000000153094","49093000000157232","49093000000157250","49093000000155084","49093000000153039","49093000000155030","1","2025-05-24 09:30:01","2025-05-24 13:06:01","15.6354","74.3469","H.No. 26, Malhotra Circle, Vijayanagaram-725185","Emergency 112","Low","Charge Sheet Filed","49093000000157063","49093000000157124","51.98","Amet voluptates repudiandae illum ut aliquam eius cupiditate.","false"
"49093000000157307","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00050","49093000000153090","49093000000157232","49093000000157249","49093000000155089","49093000000153065","49093000000155031","1","2024-11-26 03:06:19","2024-11-26 06:53:19","13.5326","77.2856","H.No. 44, Venkataraman Street, Nadiad-500917","Phone","High","Open","49093000000157118","49093000000157049","87.13","Rerum repellendus fugit modi fuga delectus ducimus in quidem.","true"
"49093000000157308","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00051","49093000000153094","49093000000157225","49093000000157241","49093000000155089","49093000000153073","49093000000155018","1","2024-09-23 16:17:33","2024-09-24 03:22:33","13.9676","78.5179","18, Verma Chowk, Shahjahanpur-272420","Walk-in","Critical","Open","49093000000157167","49093000000157170","80.75","Porro expedita impedit quasi magni officia eius.","true"
"49093000000157309","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00052","49093000000153095","49093000000157224","49093000000157250","49093000000155093","49093000000153067","49093000000155011","1","2024-08-27 01:06:37","2024-08-27 09:13:37","17.7091","78.412","H.No. 65, Rajagopalan Street, Ratlam-108037","Phone","High","Closed","49093000000157173","49093000000157171","23.62","A doloribus voluptate nobis est officia adipisci animi consectetur exercitationem iure.","true"
"49093000000157310","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00053","49093000000153089","49093000000157231","49093000000157247","49093000000155091","49093000000153026","49093000000155015","1","2025-04-22 11:52:21","2025-04-22 19:01:21","12.1861","78.1594","H.No. 39, Batta Zila, Thoothukudi 970562","Emergency 112","Medium","Open","49093000000157196","49093000000157177","41.21","Culpa consectetur at consectetur unde adipisci cumque.","false"
"49093000000157311","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00054","49093000000153096","49093000000157230","49093000000157241","49093000000155088","49093000000153032","49093000000155035","1","2025-02-17 18:49:37","2025-02-17 21:34:37","12.8078","74.4343","70, Kalla Road, Pallavaram-727828","Phone","Medium","Under Investigation","49093000000157036","49093000000157047","37.52","Iure quos perferendis ab beatae nulla numquam eos tenetur voluptatum.","true"
"49093000000157312","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00055","49093000000153089","49093000000157228","49093000000157245","49093000000155089","49093000000153043","49093000000155011","1","2025-06-11 12:43:36","2025-06-11 23:27:36","14.1077","78.6151","H.No. 964, Bora Nagar, Tenali 523448","Walk-in","Medium","Closed","49093000000157035","49093000000157079","76.37","Occaecati ut tempora suscipit voluptas ipsam porro consequatur iure.","false"
"49093000000157313","49093000000013007","2026-06-28 13:23:29:057","2026-06-28 13:23:29:057","FIR-2026-00056","49093000000153092","49093000000157227","49093000000157244","49093000000155084","49093000000153023","49093000000155022","1","2026-06-03 02:53:46","2026-06-03 10:19:46","13.5925","74.2813","690, Doshi Ganj, Bhilai-960368","Phone","High","Charge Sheet Filed","49093000000157096","49093000000157051","60.31","Assumenda possimus facilis quo aspernatur enim aspernatur incidunt.","false"
"49093000000157314","49093000000013007","2026-06-28 13:23:29:058","2026-06-28 13:23:29:058","FIR-2026-00057","49093000000153092","49093000000157232","49093000000157247","49093000000155085","49093000000153022","49093000000155033","1","2025-02-20 18:52:32","2025-02-20 21:41:32","15.2682","78.0988","49, Baria Chowk, Aurangabad-474890","Phone","Low","Charge Sheet Filed","49093000000157059","49093000000157152","9.55","Veniam provident cum blanditiis assumenda deserunt commodi optio id debitis perspiciatis officia possimus commodi quidem.","false"
"49093000000157315","49093000000013007","2026-06-28 13:23:29:058","2026-06-28 13:23:29:058","FIR-2026-00058","49093000000153090","49093000000157227","49093000000157247","49093000000155088","49093000000153057","49093000000155016","1","2026-03-12 21:13:28","2026-03-13 04:19:28","16.5756","74.2846","H.No. 791, Balasubramanian Road, Karnal 479865","Phone","High","Charge Sheet Filed","49093000000157185","49093000000157212","66.52","Labore tempora voluptatum eligendi architecto quisquam sed quo nemo nobis ullam dolorem ea ea beatae.","false"
"49093000000157316","49093000000013007","2026-06-28 13:23:29:058","2026-06-28 13:23:29:058","FIR-2026-00059","49093000000153087","49093000000157232","49093000000157241","49093000000155089","49093000000153044","49093000000155035","1","2026-02-22 23:41:03","2026-02-23 01:13:03","13.0348","76.8578","H.No. 36, Deep Nagar, Avadi-258470","Emergency 112","Critical","Open","49093000000157151","49093000000157210","49.88","Molestiae commodi saepe iure sequi architecto officiis doloribus distinctio quis reprehenderit.","false"
