"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","accused_rowid","arrest_type","arrest_datetime","arrest_location","arresting_officer_rowid","remarks"
"49093000000164443","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157294","49093000000155910","Surrender","2025-02-14 06:15:48","Motihari","49093000000157190","Corrupti corporis eveniet suscipit minima temporibus blanditiis provident animi voluptatum nostrum."
"49093000000164444","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157296","49093000000155911","Surrender","2025-03-05 13:54:36","Tiruvottiyur","49093000000157105","Atque similique magni eos adipisci vero."
"49093000000164445","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157296","49093000000155912","Arrest","2025-02-17 05:04:07","Panipat","49093000000157068","Eligendi esse pariatur aspernatur assumenda distinctio incidunt voluptatibus recusandae pariatur hic."
"49093000000164446","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157297","49093000000155913","Arrest","2025-01-15 12:08:14","Pimpri-Chinchwad","49093000000157059","Pariatur voluptate necessitatibus ut similique amet mollitia id id."
"49093000000164447","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157297","49093000000155914","Surrender","2026-06-24 00:35:44","Chennai","49093000000157076","Neque expedita nemo aperiam exercitationem impedit."
"49093000000164448","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157298","49093000000155915","Surrender","2025-09-23 16:37:01","Alwar","49093000000157062","Corporis numquam impedit a officiis quis nisi."
"49093000000164449","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157300","49093000000155916","Preventive Arrest","2024-07-23 22:47:14","Saharsa","49093000000157096","Suscipit quis non recusandae quam facilis architecto atque iste."
"49093000000164450","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157301","49093000000155917","Arrest","2026-04-19 12:52:41","Ghaziabad","49093000000157203","Dolore dignissimos perferendis pariatur ratione itaque eaque eligendi non dolor incidunt soluta."
"49093000000164451","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157302","49093000000155918","Surrender","2025-08-29 00:20:34","Ratlam","49093000000157151","Error omnis optio fuga dolor consequuntur beatae aliquam expedita laudantium maiores sapiente libero."
"49093000000164452","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157302","49093000000155919","Surrender","2025-06-30 03:52:50","Jehanabad","49093000000157205","Accusamus necessitatibus quasi distinctio nihil quod unde et veniam."
"49093000000164453","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157303","49093000000155920","Surrender","2024-09-14 22:29:08","Silchar","49093000000157033","Possimus atque deserunt veritatis perspiciatis voluptatem harum aliquam quibusdam nemo modi minus eligendi."
"49093000000164454","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157304","49093000000155921","Arrest","2024-07-19 19:08:46","Motihari","49093000000157214","Earum animi pariatur quam ducimus esse aspernatur commodi repellat dolor."
"49093000000164455","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157304","49093000000155922","Arrest","2025-02-10 08:02:52","Noida","49093000000157102","Debitis officia ad quae unde incidunt omnis repudiandae quasi."
"49093000000164456","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157307","49093000000155923","Preventive Arrest","2026-02-14 01:58:00","Saharanpur","49093000000157044","Consectetur nobis enim nihil a quae veritatis rerum."
"49093000000164457","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157308","49093000000155924","Surrender","2026-05-29 18:08:55","Pimpri-Chinchwad","49093000000157072","Sit quibusdam blanditiis ab exercitationem voluptas."
"49093000000164458","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157308","49093000000155925","Arrest","2024-12-20 19:17:20","Durgapur","49093000000157088","Nobis doloremque deleniti explicabo architecto praesentium aperiam labore deserunt nihil nam."
"49093000000164459","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157309","49093000000155926","Preventive Arrest","2026-03-08 09:56:10","North Dumdum","49093000000157045","Beatae repellat aperiam aut illum debitis."
"49093000000164460","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157309","49093000000155927","Arrest","2024-10-14 11:52:34","Allahabad","49093000000157136","Temporibus assumenda nostrum reprehenderit sed explicabo nisi hic nihil."
"49093000000164461","49093000000013007","2026-06-28 14:03:59:437","2026-06-28 14:03:59:437","49093000000157310","49093000000155928","Arrest","2024-11-23 14:33:52","Rohtak","49093000000157038","Error iure accusamus velit quam porro."
"49093000000164462","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157310","49093000000155929","Surrender","2025-06-22 12:06:37","Gandhinagar","49093000000157079","Voluptatibus laboriosam a tempora nesciunt quia recusandae suscipit similique."
"49093000000164463","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157314","49093000000155930","Arrest","2026-01-22 22:06:05","Jalgaon","49093000000157030","Suscipit dolor labore voluptatem vel explicabo id quidem cumque nostrum soluta."
"49093000000164464","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157314","49093000000155931","Surrender","2026-05-06 09:20:48","Howrah","49093000000157033","Officiis facilis rerum ipsa in officia earum iusto nulla."
"49093000000164465","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157316","49093000000155932","Arrest","2026-01-20 12:12:32","Amroha","49093000000157166","Distinctio architecto minus eveniet quo commodi distinctio sapiente porro."
"49093000000164466","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157316","49093000000155933","Surrender","2025-07-16 01:28:18","Gorakhpur","49093000000157073","Doloribus molestiae maxime ipsa numquam dolorem blanditiis laborum magni iste."
"49093000000164467","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157317","49093000000155934","Preventive Arrest","2025-01-21 05:39:39","Rajahmundry","49093000000157171","Doloremque ullam eos eveniet repudiandae nobis iure fuga."
"49093000000164468","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157319","49093000000155935","Preventive Arrest","2025-03-16 05:46:49","Dhanbad","49093000000157078","Minus consequuntur vitae a inventore porro quos sit quo neque."
"49093000000164469","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157319","49093000000155936","Preventive Arrest","2024-07-22 10:46:56","Bhatpara","49093000000157041","Necessitatibus error quas minima magnam voluptatum repellat ex ipsum fuga quibusdam blanditiis quam."
"49093000000164470","49093000000013007","2026-06-28 14:03:59:438","2026-06-28 14:03:59:438","49093000000157320","49093000000155937","Surrender","2026-03-24 07:17:44","Durgapur","49093000000157146","Dolor quia magnam sit aliquam tenetur velit voluptatem dolore rem alias."
"49093000000164471","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157321","49093000000155938","Surrender","2024-11-30 00:53:44","Kamarhati","49093000000157157","Necessitatibus quasi debitis error voluptatem reiciendis quam expedita necessitatibus laboriosam maiores et."
"49093000000164472","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157321","49093000000155939","Surrender","2025-10-13 22:55:27","Jammu","49093000000157191","Iusto perferendis voluptas quas veritatis eligendi odit et doloribus quo deleniti voluptatibus sequi."
"49093000000164473","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157324","49093000000155940","Surrender","2026-06-26 02:23:36","Loni","49093000000157075","Molestiae sunt eos deserunt eaque aspernatur deleniti autem quod eveniet saepe."
"49093000000164474","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157325","49093000000155941","Arrest","2025-03-26 06:32:39","Kamarhati","49093000000157143","Quidem pariatur consectetur blanditiis corrupti nisi corporis accusamus molestiae dignissimos delectus."
"49093000000164475","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157325","49093000000155942","Arrest","2024-08-13 16:42:01","Madurai","49093000000157115","Cupiditate maxime eligendi minima corrupti numquam doloremque recusandae repellat ut."
"49093000000164476","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157327","49093000000155943","Surrender","2025-02-08 04:20:24","Kalyan-Dombivli","49093000000157069","Corrupti iusto officia recusandae corrupti esse nobis."
"49093000000164477","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157329","49093000000155944","Surrender","2026-04-14 10:35:07","Amritsar","49093000000157152","Et quae minus illum voluptatem consectetur iste autem."
"49093000000164478","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157330","49093000000155945","Surrender","2026-06-03 01:33:12","Alappuzha","49093000000157115","Mollitia in aperiam repudiandae aut eaque quisquam perspiciatis deserunt nam expedita voluptatem rerum."
"49093000000164479","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157333","49093000000155946","Preventive Arrest","2024-10-05 21:12:26","Dehradun","49093000000157139","Eos vel nam rem neque blanditiis quis doloribus ad harum nesciunt."
"49093000000164480","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157334","49093000000155947","Arrest","2026-05-29 06:09:53","Naihati","49093000000157159","Debitis voluptatem laboriosam a quia nostrum soluta exercitationem."
"49093000000164481","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157334","49093000000155948","Surrender","2025-07-21 05:41:10","Bhimavaram","49093000000157160","Ullam minus quod odio neque nisi natus voluptate."
"49093000000164482","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157335","49093000000155949","Arrest","2024-12-31 20:55:08","Bidar","49093000000157156","Tenetur incidunt perspiciatis dignissimos voluptas nulla labore eius sed."
"49093000000164483","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157337","49093000000155950","Preventive Arrest","2024-07-06 19:00:06","Kozhikode","49093000000157047","Error beatae quidem suscipit earum nostrum suscipit quam hic doloribus natus aliquid quia voluptatem."
"49093000000164484","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157338","49093000000155951","Arrest","2025-02-26 20:25:15","Bhilai","49093000000157091","Nostrum expedita harum a non numquam at dolor hic."
"49093000000164485","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157339","49093000000155952","Preventive Arrest","2025-08-28 12:59:30","Hyderabad","49093000000157112","Cumque perspiciatis quasi sequi odit dignissimos voluptatum sed reiciendis."
"49093000000164486","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157339","49093000000155953","Preventive Arrest","2025-03-23 03:09:02","Rampur","49093000000157207","Aperiam corrupti deserunt eveniet aliquid sed id velit."
"49093000000164487","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157341","49093000000155954","Arrest","2026-02-25 13:35:07","Raebareli","49093000000157170","Cum magni amet eius nesciunt perspiciatis porro omnis id aspernatur quis quidem libero."
"49093000000164488","49093000000013007","2026-06-28 14:03:59:439","2026-06-28 14:03:59:439","49093000000157341","49093000000155955","Preventive Arrest","2024-07-30 00:20:20","Shahjahanpur","49093000000157037","Optio doloremque soluta quo doloremque voluptatibus ex rerum accusantium."
"49093000000164489","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157343","49093000000155956","Preventive Arrest","2025-09-12 12:11:38","Narasaraopet","49093000000157047","Blanditiis repudiandae corporis facere possimus odit."
"49093000000164490","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157344","49093000000155957","Arrest","2024-09-29 11:12:29","Naihati","49093000000157211","Officiis esse consectetur rem impedit quo sequi necessitatibus."
"49093000000164491","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157344","49093000000155958","Arrest","2024-12-19 12:01:37","Thiruvananthapuram","49093000000157069","Deserunt autem alias saepe unde quaerat."
"49093000000164492","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157345","49093000000155959","Surrender","2025-02-27 10:13:46","Uluberia","49093000000157092","Explicabo ea eius quasi illum illo cum vero eius dolore."
"49093000000164493","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157347","49093000000155960","Surrender","2025-04-01 04:21:06","Jabalpur","49093000000157120","Aperiam corporis alias iure cumque laudantium facere."
"49093000000164494","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157348","49093000000155961","Preventive Arrest","2026-06-08 09:58:21","Karimnagar","49093000000157110","Optio aperiam ab fugiat voluptatum dolores aliquam sit necessitatibus dolorum architecto sapiente accusamus."
"49093000000164495","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157350","49093000000155962","Arrest","2024-08-13 08:03:52","Pudukkottai","49093000000157163","Tempore perspiciatis necessitatibus enim perferendis error."
"49093000000164496","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157351","49093000000155963","Surrender","2025-02-08 23:00:32","Amravati","49093000000157213","Necessitatibus pariatur repudiandae ullam aliquam ipsa fugiat soluta ratione nemo autem."
"49093000000164497","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157353","49093000000155964","Arrest","2024-06-28 09:02:28","Kolhapur","49093000000157081","Mollitia quasi fugiat maiores commodi accusamus esse vero."
"49093000000164498","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157353","49093000000155965","Arrest","2025-07-30 17:19:26","Ambattur","49093000000157147","Quasi nisi occaecati itaque aperiam placeat nisi omnis."
"49093000000164499","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157356","49093000000155966","Preventive Arrest","2025-02-09 07:24:25","Mathura","49093000000157162","Quisquam aperiam nisi veritatis rem autem recusandae."
"49093000000164500","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157356","49093000000155967","Surrender","2025-02-19 20:02:35","Davanagere","49093000000157187","Exercitationem nostrum cupiditate ducimus recusandae nobis provident quaerat neque cupiditate rem pariatur."
"49093000000164501","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157358","49093000000155968","Preventive Arrest","2025-10-01 14:24:11","Aligarh","49093000000157193","Esse nam veniam quis sint illum porro."
"49093000000164502","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157358","49093000000155969","Surrender","2025-11-15 16:30:22","Mirzapur","49093000000157143","Consectetur quaerat necessitatibus necessitatibus et totam."
"49093000000164503","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157360","49093000000155970","Preventive Arrest","2024-07-06 22:39:56","Kavali","49093000000157039","Dicta sunt soluta doloremque asperiores suscipit necessitatibus odit illum alias fuga officiis dignissimos."
"49093000000164504","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157361","49093000000155971","Surrender","2024-11-24 20:11:43","Jhansi","49093000000157095","Totam ipsum quaerat pariatur itaque vel saepe vitae recusandae error reiciendis voluptates ut."
"49093000000164505","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157361","49093000000155972","Arrest","2025-03-10 00:40:04","Nellore","49093000000157147","Tempora modi incidunt pariatur maiores praesentium odio eligendi vitae mollitia officia."
"49093000000164506","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157362","49093000000155973","Arrest","2026-02-14 22:09:01","Pimpri-Chinchwad","49093000000157056","Eum repudiandae corrupti similique asperiores rem quasi dolorum."
"49093000000164507","49093000000013007","2026-06-28 14:03:59:440","2026-06-28 14:03:59:440","49093000000157362","49093000000155974","Arrest","2026-03-02 10:35:21","Miryalaguda","49093000000157212","Corrupti labore est iste nostrum eius in quos distinctio molestias tempora sit quod."
"49093000000164508","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157364","49093000000155975","Preventive Arrest","2026-06-05 19:27:27","Saharanpur","49093000000157030","Natus commodi quos consequuntur nihil porro mollitia molestiae neque."
"49093000000164509","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157364","49093000000155976","Surrender","2026-06-22 16:03:57","Bikaner","49093000000157065","Quae at consequatur quasi quae ut repellendus voluptatum dolores porro consequuntur."
"49093000000164510","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157365","49093000000155977","Arrest","2026-05-16 01:52:53","Nandyal","49093000000157192","Recusandae quibusdam necessitatibus suscipit neque quis adipisci beatae tenetur sed incidunt natus."
"49093000000164511","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157365","49093000000155978","Surrender","2025-02-09 15:02:29","Yamunanagar","49093000000157045","Perferendis illo odio non facilis libero earum voluptate voluptate."
"49093000000164512","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157366","49093000000155979","Preventive Arrest","2025-10-09 08:31:47","Unnao","49093000000157049","Quas quas id culpa nulla perspiciatis suscipit."
"49093000000164513","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157367","49093000000155980","Preventive Arrest","2024-09-24 18:16:49","Rampur","49093000000157045","Consequatur libero ad ratione explicabo ratione."
"49093000000164514","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157368","49093000000155981","Surrender","2025-08-15 14:09:35","Bharatpur","49093000000157162","Cum doloribus totam sint laborum culpa saepe id error."
"49093000000164515","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157369","49093000000155982","Preventive Arrest","2024-08-01 18:07:38","Salem","49093000000157177","Id voluptatum reprehenderit rem optio explicabo nisi excepturi earum itaque aliquam culpa."
"49093000000164516","49093000000013007","2026-06-28 14:03:59:441","2026-06-28 14:03:59:441","49093000000157370","49093000000155983","Arrest","2025-03-03 08:20:18","Davanagere","49093000000157179","Nam magni recusandae cupiditate minima quasi sunt fuga velit."
