"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","victim_name","gender","age","phone","email","aadhaar_number","address","occupation","injury_details","statement","is_primary"
"49093000000155117","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157272","Vamakshi Rajagopalan","Female","47","5055820440","ishita29@example.org","178619898073","22/302, Ben Street, Bhiwani-007717","Self Employed","Psychological trauma","Rerum quos culpa tempora nihil inventore deserunt voluptas molestiae quia nesciunt eos accusamus consectetur asperiores.","true"
"49093000000155118","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157273","Yadavi Pal","Female","50","3107838726","gdayal@example.net","004830656837","H.No. 71, Sengupta Circle, Mangalore-252527","Student","Minor injuries","Incidunt sint numquam doloribus aliquam quasi repellendus voluptate voluptatem quidem.","true"
"49093000000155119","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157273","Madhavi Comar","Female","24","5893616441","balasubramaniancharvi@example.org","578679404798","H.No. 937, Wable Path, Guntakal-555480","Engineer","Serious injuries","Reprehenderit laudantium nam illum debitis ad natus dolorem ipsa consequuntur vero itaque inventore.","false"
"49093000000155120","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157274","Pranit Ahuja","Male","33","5568574691","sastrygaurangi@example.org","613341606223","83/21, Dayal Marg, Fatehpur 240793","Engineer","Serious injuries","Quidem unde voluptatum harum commodi autem dicta sit quasi sit.","true"
"49093000000155121","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157274","Yauvani Kala","Female","43","7383185033","saradatta@example.com","883248741232","H.No. 60, Anand Path, Mehsana-085396","Private Employee","Hospitalized","Atque nesciunt blanditiis similique ab tempora dolores iusto unde natus enim eligendi libero natus ipsa adipisci quaerat.","false"
"49093000000155122","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157275","Ekaraj Mall","Male","66","2617757414","garahemang@example.net","044102620943","H.No. 752, Mangal Circle, Kollam 240676","Private Employee","Minor injuries","Eligendi repudiandae et non sit sint distinctio aperiam repellat impedit vel consectetur aut est magni occaecati maxime laborum odio et.","true"
"49093000000155123","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157275","Qushi Sant","Female","30","2059567299","indirabora@example.net","446510787384","54/864, Patla Ganj, Tumkur-740316","Engineer","Minor injuries","Consequuntur atque fuga vel corrupti ea voluptates voluptatibus assumenda nemo quidem modi magnam esse laboriosam labore dolor maxime.","false"
"49093000000155124","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157276","Balhaar Lall","Male","58","4381021401","nathreyansh@example.com","119830656395","H.No. 25, Vyas Chowk, Barasat 412325","Engineer","Serious injuries","Repellendus ratione nemo nihil ex maxime cum reprehenderit voluptas eaque porro ullam eaque sint.","true"
"49093000000155125","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157276","Ayush Ahuja","Male","39","7038703630","sanya40@example.org","077106252749","H.No. 379, Parekh Road, Varanasi-600282","Driver","Minor injuries","Veniam ducimus quo deleniti illo eos optio ipsa est aliquid minus ducimus numquam voluptatem vero qui occaecati sit consectetur.","false"
"49093000000155126","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157277","Janani Upadhyay","Female","71","5066752613","nagyjatin@example.net","246127243399","46/228, Babu Chowk, Berhampore-124105","Private Employee","Minor injuries","Mollitia facere libero quia et corrupti delectus nobis ipsam suscipit.","true"
"49093000000155127","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157277","Chandresh Agate","Male","20","4467182354","vdugar@example.net","491257570881","H.No. 65, Chandran Zila, Malda-717885","Teacher","Minor injuries","Sint voluptates optio inventore corrupti iure placeat hic alias itaque nam excepturi a deserunt.","false"
"49093000000155128","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157278","Abeer Shukla","Male","57","2445078368","hsaran@example.org","081316233661","H.No. 16, Chacko Nagar, Indore 842055","Doctor","Psychological trauma","Mollitia suscipit odit illo mollitia error eveniet voluptates delectus iste ab voluptates reiciendis.","true"
"49093000000155129","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157278","Vasana Natt","Female","31","8443031135","tchadha@example.net","037591312127","26, Shankar Nagar, Nagpur 408829","Teacher","Psychological trauma","Distinctio sunt beatae quo rem nihil cum ab itaque earum sit distinctio.","false"
"49093000000155130","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157279","Kashvi Chaudhari","Female","61","2256732995","jbora@example.org","413588928934","230, Raman, Kakinada-969569","Teacher","Serious injuries","Molestias deleniti asperiores hic alias laudantium ea magnam ipsa.","true"
"49093000000155131","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157280","Faris Thaker","Male","64","2084741433","jananibakshi@example.com","863284436478","H.No. 845, Borra Circle, Amroha-223770","Student","Psychological trauma","Ullam aliquid ut placeat necessitatibus atque porro ratione facilis labore culpa nobis autem quasi iure repellendus deleniti.","true"
"49093000000155132","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157280","Anjali Dugal","Female","19","2691068901","ekani21@example.com","319331721827","57/023, Verma Chowk, Kavali-455658","Doctor","Psychological trauma","Quibusdam veritatis accusamus inventore dolore inventore sequi eaque qui corrupti molestias ipsam impedit reprehenderit officia iste possimus error commodi nisi.","false"
"49093000000155133","49093000000013007","2026-06-28 13:27:29:692","2026-06-28 13:27:29:692","49093000000157281","Qadim Kota","Male","19","4116308441","narulashivansh@example.net","243481851160","52/770, Dubey Chowk, Unnao-606926","Farmer","Hospitalized","Aperiam vero veritatis officiis in vero delectus sunt pariatur velit voluptatum.","true"
"49093000000155134","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157281","Rachita Tella","Female","36","5167927337","wsabharwal@example.org","668360442197","H.No. 07, Khosla Circle, Haridwar 739731","Doctor","Psychological trauma","Dolore iste cum iusto autem laudantium dicta veritatis officiis alias.","false"
"49093000000155135","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157282","Gautami Narasimhan","Female","63","5332816531","vseth@example.com","009246500176","33/788, Ranganathan Path, Kamarhati-276293","Doctor","Hospitalized","Harum molestiae non excepturi autem eos fuga enim eaque unde sunt dicta non.","true"
"49093000000155136","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157282","Gopal Sarkar","Male","52","5376646588","ckalita@example.org","195976368080","93/68, Kala Street, Hajipur-046928","Government Employee","Minor injuries","Commodi officia voluptate consectetur exercitationem commodi expedita iure laborum vero magnam porro rem neque ratione necessitatibus expedita tempore et doloremque.","false"
"49093000000155137","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157283","Veda Salvi","Female","67","0208609431","jbassi@example.net","704282434933","022, Sarna Ganj, Pali-206610","Farmer","No physical injury","Tenetur esse dolor earum placeat nulla hic alias est nisi quos excepturi eveniet neque sapiente eligendi.","true"
"49093000000155138","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157283","Lavanya Gokhale","Female","55","1174646031","lajita32@example.net","821390321894","35/734, Puri Path, Bettiah-174991","Farmer","Psychological trauma","Culpa aut distinctio earum rem error ipsa veniam quod corporis laboriosam.","false"
"49093000000155139","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157284","Faqid Kala","Male","46","8105801417","hpalla@example.com","985545910455","72/885, Bora Street, Sri Ganganagar 916599","Doctor","No physical injury","Sint soluta consectetur delectus quisquam blanditiis at deserunt amet odit atque consequatur corporis eveniet harum blanditiis expedita velit earum.","true"
"49093000000155140","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157284","Inaya Pai","Female","70","0497969098","xalaksen@example.org","571078316334","38, Bansal Marg, Latur 650299","Driver","Minor injuries","Sequi repellendus totam deleniti nemo libero ratione perferendis delectus fuga quos cum officia officiis iste tempora necessitatibus modi expedita.","false"
"49093000000155141","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157285","Faris Comar","Male","20","7135908478","prakashdaniel@example.net","316043592599","H.No. 918, Pradhan Path, Ambattur 864146","Student","Hospitalized","Sequi impedit id qui neque praesentium perferendis aliquam delectus debitis fugiat sint inventore accusantium autem dolore impedit autem illum accusamus.","true"
"49093000000155142","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157285","Vanya Deshpande","Female","55","4576186674","nicholas00@example.net","223317738069","H.No. 189, Rajagopal Street, Belgaum 807125","Self Employed","No physical injury","Distinctio distinctio doloremque illum laudantium inventore ullam consequatur voluptas quasi magni esse ipsa dolorem excepturi laborum quibusdam nam odio.","false"
"49093000000155143","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157286","Pooja Chacko","Female","48","4907520486","michaelmukherjee@example.net","441538933527","24/14, Buch Zila, Mira-Bhayandar-863987","Student","No physical injury","Non labore tenetur quibusdam ducimus minus inventore voluptatum voluptatem cupiditate saepe deserunt ratione veritatis soluta qui minus veritatis.","true"
"49093000000155144","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157286","Vamakshi Deshpande","Female","53","0750201665","hegdeoeshi@example.org","354387616521","H.No. 04, Virk Ganj, Yamunanagar 820809","Farmer","Serious injuries","Deleniti nesciunt impedit facere culpa aperiam animi deleniti magni deleniti illum illum autem.","false"
"49093000000155145","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157287","Damyanti Pathak","Female","41","2689779210","bumbria@example.org","123406158401","49, Jayaraman Ganj, Dhanbad-050793","Self Employed","Psychological trauma","Rem possimus distinctio distinctio vero minus sint harum sed commodi quam eveniet explicabo totam nostrum facere hic laboriosam.","true"
"49093000000155146","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157287","Waida Chhabra","Female","58","8072121223","baliakshay@example.com","144923366498","H.No. 28, Sarna Marg, Guntur-438306","Private Employee","Hospitalized","Sapiente illo mollitia eligendi fugit vero non maxime saepe illo quisquam cumque labore optio nesciunt ratione fugiat.","false"
"49093000000155147","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157288","Banjeet Dutt","Male","43","0691554267","choudhrysarthak@example.com","888686620643","09, Bassi Circle, Dindigul 405041","Driver","Serious injuries","Voluptatibus unde quia quasi nesciunt a tempora dolores voluptatem voluptatum odit numquam.","true"
"49093000000155148","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157289","Hema Yohannan","Female","71","2209121593","sararastogi@example.net","965424628419","700, Natt Circle, Bokaro-665421","Government Employee","Hospitalized","Earum nostrum ex laborum quam molestiae placeat sit natus ea nihil pariatur autem consectetur accusamus ab officia in fugiat.","true"
"49093000000155149","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157289","Banjeet Bhat","Male","22","0294817879","oommenleena@example.org","139319503197","63/11, Dutta Zila, Kurnool 532557","Private Employee","Hospitalized","Eveniet quibusdam porro libero fugiat rem sapiente itaque odio.","false"
"49093000000155150","49093000000013007","2026-06-28 13:27:29:693","2026-06-28 13:27:29:693","49093000000157290","Mahika Gala","Female","37","5701979374","ylad@example.org","943521063867","H.No. 45, Shanker Path, Ranchi-111983","Student","Serious injuries","Quo id corporis unde molestiae repellendus nulla dolorem tempore omnis ipsum rem voluptates aspernatur optio doloremque dolorum.","true"
"49093000000155151","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157290","Hamsini Date","Female","51","0634093511","garima35@example.net","788551144166","32/426, Barad Ganj, Latur-250280","Business","Serious injuries","Possimus laborum necessitatibus dolores occaecati minus qui quae at quae reiciendis itaque eveniet cumque blanditiis voluptatibus provident maxime porro.","false"
"49093000000155152","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157291","Agastya Shenoy","Male","54","8079538296","prabhakarharsh@example.net","573297870784","20/13, Chaudhuri Zila, Rampur 764158","Government Employee","Minor injuries","Excepturi dolorem mollitia ipsa dolor eos sit itaque quos.","true"
"49093000000155153","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157292","Mahika Srinivasan","Female","23","7987527175","suhani38@example.net","845709478178","61/97, Gade Chowk, Pallavaram 491793","Private Employee","Psychological trauma","Ea officiis corporis repellat dolore occaecati voluptate explicabo voluptas iure quis sapiente aliquam eius natus impedit id id non ut.","true"
"49093000000155154","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157292","Kashvi Sethi","Female","71","3525866838","dbatta@example.org","725887473581","46/86, Contractor Nagar, Rajahmundry 154274","Business","Psychological trauma","Porro recusandae deserunt quidem amet ipsam numquam sapiente eligendi quo dolor molestiae repellat.","false"
"49093000000155155","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157293","Zehaan Pillai","Male","73","8518177236","ogill@example.com","631030976336","H.No. 79, Prabhu Zila, Aurangabad 817511","Business","Hospitalized","Labore consectetur minus deleniti quas vero beatae voluptatum at amet amet tempora consectetur aliquid nemo repudiandae iste animi.","true"
"49093000000155156","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157294","Hema Puri","Female","31","3561522879","indirakanda@example.net","579516863136","62, Chand Nagar, Guna-108042","Business","Hospitalized","Quo recusandae reprehenderit nisi asperiores libero facere eaque quo consequatur laudantium vel placeat.","true"
"49093000000155157","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157294","Janani Kaul","Female","18","2324020186","lakshsuri@example.net","987045331701","434, Mallick Chowk, Aurangabad 398032","Farmer","Minor injuries","Officiis quis quos alias molestias ipsum rem omnis sequi deleniti enim quod fugiat dicta vel atque tempore deserunt alias perferendis.","false"
"49093000000155158","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157295","Viraj Kadakia","Male","25","9245659115","baildhriti@example.net","666697893845","15/14, Sheth Path, New Delhi-854157","Government Employee","Serious injuries","Dolorem magni consectetur sunt velit a explicabo est reiciendis ab sapiente eveniet perferendis vero molestiae.","true"
"49093000000155159","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157296","Daksh Seth","Male","75","4681233607","dominic25@example.org","477081397927","82/86, Rao Circle, Ramagundam-154863","Engineer","Serious injuries","Quod nihil natus ea aut modi sint adipisci amet ab illum atque quia.","true"
"49093000000155160","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157297","Shaurya Nazareth","Male","66","5070180050","parekhtriveni@example.org","248432096933","29, Deol Marg, Durg-562336","Teacher","No physical injury","Molestiae rerum soluta laborum excepturi facere impedit esse eius autem expedita sapiente similique tempore in.","true"
"49093000000155161","49093000000013007","2026-06-28 13:27:29:694","2026-06-28 13:27:29:694","49093000000157298","Ishani Sinha","Female","23","7006088034","pantrobert@example.net","799930068010","H.No. 93, Panchal Zila, Nagercoil-928322","Teacher","No physical injury","Blanditiis dolore nam dolore minima aperiam voluptatibus dolor quod suscipit ea occaecati nemo exercitationem dolorem quidem doloremque.","true"
"49093000000155162","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157298","Sanya Kaul","Female","31","7057390628","tbajaj@example.org","347967709678","H.No. 84, Chaudhry Path, Bareilly-652201","Self Employed","Hospitalized","Nisi commodi accusantium sed officia repudiandae exercitationem fugit quae ipsa itaque nam officia maxime minus sunt repudiandae.","false"
"49093000000155163","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157299","William Dubey","Male","65","5200717812","palangirindra@example.org","008373226431","56, Pingle Ganj, Madanapalle 756964","Private Employee","Psychological trauma","Numquam aut optio exercitationem commodi consectetur blanditiis veritatis animi fugiat sunt architecto aperiam delectus dolore voluptate nisi.","true"
"49093000000155164","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157300","Vansha Sanghvi","Female","63","1478051900","bhaktabenjamin@example.com","885302747883","39/613, Bahl Path, Arrah-496503","Student","Minor injuries","Minus tenetur nemo magnam accusantium dignissimos repellat voluptas omnis ea deserunt similique ad culpa molestias.","true"
"49093000000155165","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157301","Tanay Lall","Male","40","1770460083","hmittal@example.com","531600723822","H.No. 779, Sankaran Street, Korba-447811","Business","Psychological trauma","Officiis reiciendis occaecati vel nesciunt delectus repellendus at quasi fuga voluptatibus repudiandae.","true"
"49093000000155166","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157301","Yuvraj Krishnan","Male","31","8190493407","xnatt@example.net","109575498034","20/94, Bassi, Agartala 049345","Teacher","Psychological trauma","Esse error soluta cum placeat aliquid odio odio illum impedit atque in voluptatum cupiditate mollitia unde totam recusandae.","false"
"49093000000155167","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157302","Hardik Sarna","Male","49","7391219637","ekiyaraval@example.net","579938495207","30/277, Gera Marg, Giridih 479610","Business","Minor injuries","Quasi quas illum ipsa ducimus corporis vitae alias cumque.","true"
"49093000000155168","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157303","Yachana Dara","Female","43","7092152523","tdyal@example.org","753711365551","190, Dyal Road, Jaipur-473018","Doctor","Psychological trauma","Magnam dignissimos minus dolore nesciunt officiis quos dolore sapiente fugiat expedita numquam qui aut qui est.","true"
"49093000000155169","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157304","Gunbir Joshi","Male","70","6950418142","mukherjeefariq@example.net","389206636991","34/76, Chowdhury Street, Durgapur-980167","Farmer","Hospitalized","Et in earum veniam eligendi eligendi hic pariatur esse repellendus debitis ut sit deserunt explicabo.","true"
"49093000000155170","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157304","Yashoda Chada","Female","71","7993379676","krishnamurthyomisha@example.com","401883488533","H.No. 51, Jha, Karimnagar 383293","Driver","Hospitalized","Non voluptate id neque eum eaque amet consectetur blanditiis aut ad laboriosam nostrum aliquid facilis.","false"
"49093000000155171","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157305","Kabir Gole","Male","71","4662237748","zayanraghavan@example.com","431843795518","74, Chaudhary Nagar, Bally 886062","Self Employed","Psychological trauma","Ducimus illum neque asperiores iure expedita velit commodi suscipit impedit occaecati eius laudantium laborum.","true"
"49093000000155172","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157306","Dhriti Date","Female","22","9299214675","yzacharia@example.net","772487454570","H.No. 358, Mannan Zila, Durgapur-292578","Doctor","Minor injuries","Odit occaecati repellendus ratione magnam eum doloremque placeat culpa laborum tempore.","true"
"49093000000155173","49093000000013007","2026-06-28 13:27:29:695","2026-06-28 13:27:29:695","49093000000157306","Lakshit Sama","Male","45","5958893600","panchalyatin@example.com","617992510208","H.No. 137, Arora Zila, Jalna 459751","Doctor","Hospitalized","Provident unde assumenda ratione quos alias aliquam nesciunt impedit sint odit.","false"
"49093000000155174","49093000000013007","2026-06-28 13:27:29:696","2026-06-28 13:27:29:696","49093000000157307","Veda Shukla","Female","72","8883434999","auroraupma@example.org","542438562942","57/486, Pathak, Bangalore 230900","Government Employee","Hospitalized","Nemo quia sit pariatur maiores ullam tempore explicabo iure sed doloribus placeat reiciendis rerum asperiores.","true"
"49093000000155175","49093000000013007","2026-06-28 13:27:29:696","2026-06-28 13:27:29:696","49093000000157308","Gabriel D’Alia","Male","32","2004876976","ikshita97@example.net","173632840270","07/518, Ratti Circle, Mango 156268","Teacher","Psychological trauma","Consequuntur ipsum ipsam nulla provident beatae delectus dolor voluptates qui nostrum dolor.","true"
"49093000000155176","49093000000013007","2026-06-28 13:27:29:696","2026-06-28 13:27:29:696","49093000000157309","Gopal Dave","Male","29","2003213476","rattaayaan@example.com","961276024332","33, Nagi Street, Sambhal-900970","Self Employed","Minor injuries","Laborum est modi porro minima voluptatum doloremque magnam placeat pariatur ea officia.","true"
"49093000000155177","49093000000013007","2026-06-28 13:27:29:696","2026-06-28 13:27:29:696","49093000000157309","Vaishnavi Virk","Female","37","6497837138","svasa@example.com","793197962504","54, Choudhary Zila, Hajipur 837692","Driver","No physical injury","Necessitatibus qui dolores tenetur ad dicta provident nobis totam nisi deserunt non hic aliquid.","false"
"49093000000155178","49093000000013007","2026-06-28 13:27:29:696","2026-06-28 13:27:29:696","49093000000157310","Indali Devi","Female","56","9984903708","emohan@example.org","756559405835","H.No. 71, Joshi Chowk, Hajipur 487276","Driver","Hospitalized","A perspiciatis cum ratione harum est delectus occaecati at provident consequuntur laborum.","true"
"49093000000155179","49093000000013007","2026-06-28 13:27:29:696","2026-06-28 13:27:29:696","49093000000157310","Frederick Balay","Male","32","7383990246","zehaan38@example.org","540336884034","H.No. 79, Ramaswamy Street, Danapur-006230","Student","Serious injuries","Dolorum placeat cupiditate est ducimus nostrum pariatur maiores suscipit quidem et fugiat accusamus.","false"
